,id,host_since,host_neighbourhood,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,bed_type,square_feet,price,security_deposit,cleaning_fee,availability_365,number_of_reviews,review_scores_value,cancellation_policy,calculated_host_listings_count,geolocation,profile_pic,identity_verified,location_exact,instant_bookable,license_required,guest_pic_required,superhost,guest_phone_verification
7374,10223351,2013-07-18,,1.0,Sol,Centro,28013,40.42023658131031,-3.705324404002325,Apartment,Private room,Real Bed,,35.0,,,364,5,10.0,flexible,1.0,"40.420236581310306, -3.7053244040023245",True,True,False,False,True,False,True,False
7375,17619346,2016-04-26,La Latina,4.0,Sol,Centro,28012,40.41707943155852,-3.705480877738936,Apartment,Entire home/apt,Real Bed,,95.0,150.0,30.0,313,0,,strict,1.0,"40.41707943155852, -3.705480877738936",True,False,True,True,True,False,False,False
7376,13208544,2013-08-24,Cortes,3.0,Sol,Centro,28012,40.41544243862217,-3.702294003561027,Apartment,Entire home/apt,Real Bed,,78.0,150.0,20.0,312,13,9.0,moderate,2.0,"40.41544243862217, -3.702294003561027",True,True,False,False,True,False,False,False
7377,7396405,2015-07-02,Sol,24.0,Sol,Centro,28013,40.416875885379895,-3.70797815855784,Apartment,Entire home/apt,Real Bed,,105.0,100.0,,337,1,10.0,strict,21.0,"40.416875885379895, -3.7079781585578395",True,False,True,True,True,False,False,False
7378,17459613,2016-05-21,,1.0,Sol,Centro,28012,40.41500719985092,-3.706837420540542,Apartment,Private room,Real Bed,,35.0,,,47,0,,flexible,1.0,"40.41500719985092, -3.706837420540542",True,True,False,True,True,False,False,False
7379,17198105,2015-02-10,Cortes,57.0,Sol,Centro,28013,40.41714703387064,-3.705301360341104,Apartment,Entire home/apt,Real Bed,,81.0,200.0,50.0,147,4,9.0,flexible,48.0,"40.417147033870634, -3.705301360341104",True,True,True,True,True,False,False,False
7380,13921775,2015-03-09,Palos do Moguer,8.0,Sol,Centro,28013,40.41648101303747,-3.7079149936428974,Apartment,Entire home/apt,Real Bed,,99.0,,35.0,295,35,10.0,moderate,7.0,"40.41648101303747, -3.7079149936428983",True,True,False,True,True,False,True,False
7381,12381763,2015-07-23,Sol,13.0,Sol,Centro,28013,40.4173602062676,-3.703954343652154,Apartment,Entire home/apt,Real Bed,,90.0,150.0,20.0,131,1,10.0,strict,7.0,"40.417360206267595, -3.7039543436521534",True,False,True,False,True,False,False,False
7382,4947004,2014-03-01,Argüelles,3.0,Sol,Centro,28013,40.419608971646646,-3.707707552523048,Apartment,Entire home/apt,Real Bed,,75.0,150.0,20.0,286,114,10.0,strict,3.0,"40.419608971646646, -3.7077075525230474",True,True,True,True,True,False,True,False
7383,5236496,2012-09-14,La Latina,142.0,Sol,Centro,28012,40.41668213322366,-3.7050029212381705,Apartment,Entire home/apt,Real Bed,,124.0,,77.0,187,38,9.0,strict,77.0,"40.41668213322366, -3.7050029212381705",True,True,False,True,True,False,False,False
7384,3795633,2012-08-05,Sol,2.0,Sol,Centro,28012,40.417150448305705,-3.703307657198642,Loft,Private room,Real Bed,,40.0,89.0,5.0,48,9,10.0,strict,2.0,"40.417150448305705, -3.703307657198642",True,True,True,False,True,False,True,False
7385,3531042,2014-07-07,,1.0,Sol,Centro,28013,40.4191908241658,-3.703428303660668,Apartment,Private room,Real Bed,,45.0,,4.0,206,134,9.0,strict,1.0,"40.4191908241658, -3.7034283036606683",True,False,False,False,True,False,False,False
7386,17619865,2017-02-23,Sol,26.0,Sol,Centro,28013,40.41907362643834,-3.708051124677046,Apartment,Private room,Real Bed,,28.0,200.0,30.0,311,0,,strict,26.0,"40.41907362643834, -3.708051124677046",True,True,True,False,True,False,False,False
7387,610971,2012-06-20,Sol,6.0,Sol,Centro,28013,40.42010133762972,-3.706252596928181,Bed & Breakfast,Private room,Real Bed,129.0,40.0,85.0,,334,43,10.0,strict,4.0,"40.42010133762972, -3.706252596928181",True,True,True,False,True,True,False,True
7388,17968767,2015-09-17,Malasaña,1.0,Universidad,Centro,28004,40.42641572970749,-3.7039848342050457,Apartment,Entire home/apt,Real Bed,,60.0,,20.0,340,1,10.0,strict,1.0,"40.42641572970749, -3.7039848342050457",True,False,True,True,True,False,False,False
7389,8545199,2014-05-08,Justicia,114.0,Universidad,Centro,28013,40.42029183874251,-3.7041222503378015,Apartment,Private room,Real Bed,,25.0,,15.0,62,0,,strict,97.0,"40.42029183874251, -3.7041222503378024",True,False,True,False,True,False,False,False
7390,7319485,2015-07-13,Malasaña,1.0,Universidad,Centro,28013,40.42299516166118,-3.706288187506908,Apartment,Private room,Real Bed,,45.0,,,359,15,9.0,strict,1.0,"40.42299516166118, -3.7062881875069076",True,True,True,False,True,False,False,False
7391,11134169,2016-02-08,Malasaña,1.0,Universidad,Centro,28004,40.42241174078645,-3.70262523137036,Apartment,Entire home/apt,Real Bed,,75.0,300.0,35.0,331,15,10.0,moderate,1.0,"40.422411740786444, -3.7026252313703596",True,True,True,False,True,False,False,False
7392,13296827,2016-05-30,,1.0,Universidad,Centro,28004,40.42142508683701,-3.702835075015531,Apartment,Entire home/apt,Real Bed,,70.0,150.0,20.0,98,21,9.0,flexible,1.0,"40.42142508683701, -3.702835075015531",True,False,False,False,True,False,False,False
7393,2509200,2012-01-18,Malasaña,1.0,Universidad,Centro,28004,40.42145695374864,-3.704386192677408,Apartment,Entire home/apt,Real Bed,,90.0,100.0,35.0,321,59,9.0,moderate,1.0,"40.42145695374864, -3.704386192677408",True,True,True,False,True,False,False,False
7394,13592776,2016-04-27,Malasaña,3.0,Universidad,Centro,28004,40.42295486565564,-3.702673618882963,Apartment,Entire home/apt,Real Bed,,190.0,300.0,49.0,123,17,10.0,strict,2.0,"40.42295486565564, -3.7026736188829634",True,True,True,False,True,False,True,False
7395,1830094,2012-09-11,Malasaña,3.0,Universidad,Centro,28004,40.42573689104727,-3.706744081114882,Apartment,Entire home/apt,Pull-out Sofa,,125.0,100.0,50.0,282,1,8.0,flexible,3.0,"40.42573689104727, -3.706744081114882",True,False,True,False,True,False,False,False
