,id,host_since,host_neighbourhood,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,bed_type,square_feet,price,security_deposit,cleaning_fee,availability_365,number_of_reviews,review_scores_value,cancellation_policy,calculated_host_listings_count,geolocation,profile_pic,identity_verified,location_exact,instant_bookable,license_required,guest_pic_required,superhost,guest_phone_verification
0,15141125,2016-09-20,,2.0,Embajadores,Centro,28005,40.40745268477803,-3.707995475443264,Loft,Entire home/apt,Real Bed,,50.0,100.0,20.0,66,30,10.0,moderate,2.0,"40.40745268477803, -3.7079954754432634",True,True,False,True,True,False,True,False
1,9470166,2013-11-08,Hortaleza,13.0,Embajadores,Centro,28012,40.40831556101927,-3.705006385704201,Apartment,Entire home/apt,Real Bed,,50.0,250.0,15.0,347,97,8.0,strict,13.0,"40.40831556101927, -3.705006385704201",True,True,False,True,True,False,False,False
2,17444981,2017-02-25,,1.0,Embajadores,Centro,28012,40.413722014584295,-3.706823118653672,Apartment,Entire home/apt,Real Bed,,77.0,,25.0,155,7,10.0,moderate,1.0,"40.413722014584295, -3.7068231186536718",True,True,False,True,True,False,False,False
3,3284565,2012-03-09,Embajadores,3.0,Embajadores,Centro,28012,40.41126337271805,-3.6973054373712886,Apartment,Entire home/apt,Real Bed,,50.0,200.0,25.0,191,6,9.0,strict,3.0,"40.411263372718054, -3.6973054373712886",True,True,True,False,True,False,False,False
4,499911,2012-05-26,Embajadores,1.0,Embajadores,Centro,28012,40.41255625665078,-3.701155364799422,Apartment,Entire home/apt,Real Bed,,95.0,200.0,60.0,237,72,10.0,strict,1.0,"40.41255625665078, -3.701155364799422",True,True,True,False,True,False,True,False
5,1346747,2013-07-05,La Latina,2.0,Embajadores,Centro,28005,40.40790775263045,-3.705095395441632,Apartment,Entire home/apt,Real Bed,,69.0,120.0,25.0,234,27,9.0,moderate,1.0,"40.40790775263045, -3.7050953954416324",True,False,True,False,True,False,False,False
6,3097553,2014-05-10,,1.0,Embajadores,Centro,28012,40.408983157395134,-3.698251543680056,Apartment,Entire home/apt,Real Bed,,70.0,150.0,,153,11,10.0,moderate,1.0,"40.408983157395134, -3.698251543680056",True,True,False,False,True,False,False,False
7,13440784,2016-06-09,La Latina,2.0,Embajadores,Centro,28005,40.40835752461163,-3.704043265135827,Apartment,Private room,Real Bed,,30.0,,,0,2,9.0,moderate,2.0,"40.40835752461163, -3.704043265135827",True,False,True,True,True,False,False,False
8,7818234,2013-02-26,Embajadores,20.0,Embajadores,Centro,28012,40.411622134427205,-3.703281054404274,Apartment,Entire home/apt,Real Bed,,57.0,,20.0,319,9,9.0,moderate,20.0,"40.411622134427205, -3.703281054404274",True,True,True,False,True,False,False,False
9,1386096,2013-05-29,La Latina,1.0,Embajadores,Centro,28012,40.407338871766925,-3.7070192202047374,Apartment,Entire home/apt,Real Bed,,59.0,100.0,,250,5,10.0,moderate,1.0,"40.407338871766925, -3.7070192202047383",True,True,True,False,True,False,False,False
10,7907083,2014-11-17,Cortes,5.0,Embajadores,Centro,28012,40.41055884554781,-3.706428605664073,Apartment,Entire home/apt,Real Bed,,160.0,300.0,55.0,124,25,9.0,strict,5.0,"40.41055884554781, -3.706428605664073",True,True,False,False,True,False,False,False
11,14180827,2014-07-26,,1.0,Embajadores,Centro,28012,40.41216293682516,-3.701828068888151,Apartment,Private room,Real Bed,,25.0,,10.0,0,0,,flexible,1.0,"40.41216293682516, -3.7018280688881506",True,False,False,False,True,False,False,False
12,8011473,2013-09-14,,3.0,Embajadores,Centro,28012,40.41285947039403,-3.703050484421648,Apartment,Entire home/apt,Real Bed,,70.0,,35.0,364,0,,flexible,1.0,"40.41285947039403, -3.703050484421648",True,True,False,False,True,False,False,False
14,1942585,2011-12-22,Sol,9.0,Embajadores,Centro,28012,40.4090849589356,-3.7047444736040687,Apartment,Entire home/apt,Real Bed,,120.0,300.0,60.0,334,13,10.0,moderate,9.0,"40.4090849589356, -3.7047444736040687",True,True,False,False,True,False,False,False
15,9460773,2014-05-07,Malasaña,9.0,Embajadores,Centro,28012,40.405529543852246,-3.7023777824721167,Condominium,Entire home/apt,Real Bed,,45.0,150.0,15.0,138,68,9.0,strict,7.0,"40.405529543852246, -3.7023777824721167",True,True,False,True,True,False,False,False
16,16311700,2014-08-09,La Latina,1.0,Embajadores,Centro,28012,40.41196098544589,-3.706947682659962,Apartment,Private room,Real Bed,,37.0,,20.0,333,14,9.0,strict,1.0,"40.411960985445894, -3.706947682659962",True,True,True,False,True,False,False,False
20,5399733,2012-08-15,La Latina,3.0,Palacio,Centro,28005,40.410074240590106,-3.7106236892189832,Apartment,Entire home/apt,Real Bed,,89.0,100.0,25.0,66,33,10.0,strict,2.0,"40.410074240590106, -3.7106236892189832",True,True,True,False,True,False,True,False
21,10218330,2014-05-21,Casco Antiguo,27.0,Palacio,Centro,28013,40.42017438596894,-3.712628745100702,Condominium,Entire home/apt,Real Bed,,192.0,200.0,73.0,59,2,7.0,strict,3.0,"40.42017438596894, -3.712628745100702",True,True,True,False,True,False,False,False
22,14773153,2015-06-28,La Latina,20.0,Palacio,Centro,28005,40.40989805431663,-3.710947970973952,Loft,Entire home/apt,Real Bed,,100.0,300.0,30.0,330,0,,strict,9.0,"40.40989805431663, -3.7109479709739523",True,True,True,True,True,False,False,False
23,1666184,2013-09-14,,2.0,Palacio,Centro,28005,40.41179162145978,-3.709707931327856,Apartment,Entire home/apt,Real Bed,,70.0,,,223,24,9.0,flexible,2.0,"40.41179162145978, -3.709707931327856",True,True,False,True,True,False,False,False
24,17986327,2014-05-08,Justicia,114.0,Palacio,Centro,28012,40.41215429347274,-3.708006181023032,Apartment,Private room,Real Bed,,15.0,,15.0,293,0,,strict,97.0,"40.41215429347274, -3.708006181023032",True,False,True,False,True,False,False,False
25,7796518,2015-07-28,Palacio,3.0,Palacio,Centro,28013,40.4215557414176,-3.709847980154691,Apartment,Entire home/apt,Real Bed,,100.0,150.0,60.0,270,4,9.0,strict,1.0,"40.4215557414176, -3.709847980154691",True,True,True,False,True,False,False,False
26,12809312,2012-03-26,Sol,2.0,Palacio,Centro,28012,40.41276583905967,-3.7075909638953415,Apartment,Private room,Real Bed,,52.0,150.0,8.0,297,4,9.0,flexible,2.0,"40.41276583905967, -3.7075909638953415",True,True,True,False,True,False,False,False
27,9914784,2013-01-21,La Latina,5.0,Palacio,Centro,28005,40.41172628295956,-3.7126621848665033,Loft,Entire home/apt,Real Bed,,160.0,,,326,40,9.0,strict,4.0,"40.411726282959556, -3.7126621848665025",True,False,True,False,True,False,False,False
28,4196358,2014-01-20,Palacio,1.0,Palacio,Centro,28013,40.42099216161933,-3.710401967861499,Apartment,Entire home/apt,Real Bed,,80.0,,20.0,252,46,9.0,strict,1.0,"40.420992161619324, -3.710401967861499",True,True,True,True,True,False,False,False
29,13183219,2016-05-24,Palacio,2.0,Palacio,Centro,28005,40.412028475410665,-3.715778795417614,Apartment,Entire home/apt,Real Bed,,68.0,130.0,24.0,113,20,8.0,flexible,2.0,"40.412028475410665, -3.715778795417614",True,True,True,True,True,False,False,False
30,15508358,2016-10-14,Palacio,2.0,Palacio,Centro,28013,40.41512467560732,-3.7102938005955113,Apartment,Entire home/apt,Real Bed,,80.0,100.0,20.0,67,23,10.0,strict,2.0,"40.415124675607316, -3.7102938005955113",True,True,True,True,True,False,False,False
31,11050879,2016-02-04,,1.0,Palacio,Centro,28005,40.411268401960974,-3.711598282910733,Apartment,Entire home/apt,Real Bed,,60.0,250.0,,80,0,,strict,1.0,"40.411268401960974, -3.711598282910733",True,True,False,False,True,False,False,False
32,5547854,2013-10-02,Embajadores,8.0,Embajadores,Centro,28012,40.40645117724535,-3.699536858845091,Apartment,Private room,Real Bed,,28.0,,,342,87,9.0,moderate,8.0,"40.40645117724535, -3.699536858845091",True,True,True,False,True,False,False,False
33,843700,2012-11-21,La Latina,3.0,Embajadores,Centro,28012,40.4133780215198,-3.706167781380057,Bed & Breakfast,Private room,Real Bed,,50.0,200.0,50.0,34,11,10.0,moderate,3.0,"40.4133780215198, -3.706167781380057",True,False,True,False,True,True,False,True
34,2966350,2011-07-15,Embajadores,2.0,Embajadores,Centro,28012,40.41204778900974,-3.701021523297488,Apartment,Entire home/apt,Real Bed,,50.0,90.0,25.0,258,134,9.0,strict,1.0,"40.41204778900974, -3.7010215232974875",True,True,True,True,True,True,False,False
35,4319780,2014-07-26,Embajadores,1.0,Embajadores,Centro,28012,40.410469609965816,-3.701457309971553,Apartment,Private room,Real Bed,,40.0,150.0,20.0,350,60,9.0,flexible,1.0,"40.410469609965816, -3.701457309971553",True,True,True,False,True,False,False,False
36,17731717,2015-02-19,Embajadores,3.0,Embajadores,Centro,28012,40.40960280780846,-3.69501806290754,Apartment,Entire home/apt,Real Bed,,62.0,150.0,30.0,167,0,,strict,3.0,"40.40960280780846, -3.6950180629075398",True,True,False,True,True,False,False,False
37,12807973,2016-04-07,Cortes,5.0,Embajadores,Centro,28012,40.40581437264116,-3.700251544601717,Apartment,Entire home/apt,Real Bed,,50.0,,20.0,336,58,9.0,moderate,4.0,"40.40581437264116, -3.7002515446017172",True,True,True,True,True,False,False,False
38,12705598,2015-09-14,,7.0,Embajadores,Centro,28012,40.41098688796061,-3.7050591885379167,Apartment,Private room,Real Bed,,25.0,,,306,39,9.0,strict,7.0,"40.410986887960604, -3.7050591885379167",True,True,False,False,True,False,False,False
39,14894437,2016-02-17,Embajadores,2.0,Embajadores,Centro,28012,40.40765373401717,-3.699040885353488,Condominium,Entire home/apt,Real Bed,,47.0,,,264,28,10.0,strict,2.0,"40.407653734017174, -3.699040885353488",True,True,True,True,True,False,False,False
40,11690240,2013-12-10,,2.0,Embajadores,Centro,28012,40.40732471847044,-3.7006600238093688,House,Private room,Real Bed,,38.0,100.0,15.0,167,5,9.0,strict,1.0,"40.40732471847044, -3.7006600238093688",True,True,False,False,True,False,False,False
41,16959438,2014-05-06,Malasaña,7.0,Embajadores,Centro,28005,40.41086697749362,-3.706966665173075,Apartment,Entire home/apt,Real Bed,,75.0,100.0,25.0,344,3,9.0,strict,7.0,"40.41086697749362, -3.706966665173075",True,True,True,False,True,False,False,False
42,6936094,2014-05-09,La Latina,3.0,Embajadores,Centro,28012,40.41167401317618,-3.700290627988733,Bed & Breakfast,Private room,Real Bed,,38.0,150.0,10.0,300,1,8.0,flexible,2.0,"40.41167401317618, -3.7002906279887333",True,True,True,False,True,False,False,False
43,9535469,2011-05-13,Goya,11.0,Embajadores,Centro,28012,40.41179965542782,-3.7039433023426462,Apartment,Entire home/apt,Real Bed,,75.0,200.0,35.0,303,34,9.0,strict,11.0,"40.41179965542782, -3.7039433023426462",True,True,True,True,True,False,False,False
44,16721056,2013-07-10,Sol,2.0,Embajadores,Centro,28012,40.40893406007319,-3.7049793312797177,Apartment,Entire home/apt,Real Bed,,55.0,100.0,20.0,132,0,,strict,2.0,"40.408934060073186, -3.7049793312797177",True,False,True,False,True,False,True,False
45,429604,2012-04-10,Embajadores,2.0,Embajadores,Centro,28012,40.41268109204176,-3.701247361306439,Apartment,Entire home/apt,Real Bed,,65.0,200.0,,224,2,9.0,flexible,2.0,"40.41268109204176, -3.701247361306439",True,True,True,False,True,False,False,False
46,5446082,2014-01-09,Embajadores,8.0,Embajadores,Centro,28012,40.41250621572405,-3.703883357747495,Apartment,Private room,Real Bed,,39.0,,12.0,87,15,9.0,moderate,8.0,"40.41250621572405, -3.703883357747495",True,True,False,False,True,False,False,False
47,17049729,2017-02-02,Palacio,2.0,Palacio,Centro,28013,40.421408098599485,-3.707649938101373,Apartment,Entire home/apt,Real Bed,,60.0,,10.0,8,4,7.0,strict,2.0,"40.421408098599485, -3.7076499381013726",True,True,True,True,True,False,False,False
48,16818439,2016-04-23,,1.0,Palacio,Centro,28008,40.417820222494925,-3.719798229662536,Apartment,Entire home/apt,Real Bed,,80.0,,20.0,357,1,,strict,1.0,"40.417820222494925, -3.7197982296625356",True,False,False,False,True,False,False,False
49,13940202,2016-01-14,,3.0,Palacio,Centro,28005,40.41068105552736,-3.713488482306337,Apartment,Entire home/apt,Real Bed,,65.0,,25.0,212,6,8.0,moderate,3.0,"40.41068105552736, -3.7134884823063365",True,True,False,False,True,False,False,False
50,1717189,2012-11-07,Embajadores,12.0,Palacio,Centro,28005,40.41205745086388,-3.709148993063115,Apartment,Entire home/apt,Real Bed,592.0,72.0,200.0,25.0,6,119,9.0,moderate,12.0,"40.41205745086388, -3.709148993063115",True,True,True,True,True,False,False,False
51,16183177,2012-07-04,Palacio,7.0,Palacio,Centro,28013,40.41627556008448,-3.710189188358307,Other,Entire home/apt,Real Bed,,60.0,120.0,10.0,70,10,9.0,strict,7.0,"40.41627556008448, -3.710189188358307",True,True,True,True,True,False,False,False
52,16669645,2016-10-04,,6.0,Palacio,Centro,28013,40.41685037839381,-3.7116059823914576,Hostel,Private room,Real Bed,,60.0,,,172,0,,flexible,6.0,"40.416850378393804, -3.7116059823914576",True,True,False,False,True,False,False,False
53,16216763,2015-04-03,,1.0,Palacio,Centro,28005,40.409771307715104,-3.717248479475317,Apartment,Entire home/apt,Real Bed,,56.0,200.0,10.0,332,20,9.0,strict,1.0,"40.409771307715104, -3.717248479475317",True,True,False,True,True,False,True,False
54,9151112,2012-01-25,La Latina,40.0,Palacio,Centro,28013,40.41968006281567,-3.7107451758163816,Apartment,Entire home/apt,Real Bed,,98.0,200.0,50.0,248,5,10.0,strict,40.0,"40.41968006281567, -3.7107451758163816",True,True,True,True,True,False,False,False
55,17620099,2017-03-08,,8.0,Palacio,Centro,28013,40.42174883108167,-3.71110520281181,Apartment,Entire home/apt,Real Bed,,120.0,,,304,0,,moderate,6.0,"40.42174883108167, -3.71110520281181",True,False,False,True,True,False,False,False
57,13197379,2015-07-12,,2.0,Palacio,Centro,28005,40.40911329232872,-3.7116742868563577,Apartment,Entire home/apt,Real Bed,,50.0,,20.0,34,2,10.0,moderate,2.0,"40.40911329232872, -3.7116742868563577",True,True,False,True,True,False,True,False
58,13226641,2015-10-01,Sol,11.0,Palacio,Centro,28005,40.40901134000833,-3.7112225444414144,Apartment,Entire home/apt,Real Bed,,79.0,,20.0,26,67,9.0,strict,11.0,"40.40901134000833, -3.7112225444414144",True,True,False,True,True,False,False,False
59,11633315,2016-03-05,Palacio,1.0,Palacio,Centro,28013,40.42247796997057,-3.7101564044628295,Apartment,Entire home/apt,Real Bed,,63.0,100.0,,293,81,10.0,moderate,1.0,"40.42247796997057, -3.7101564044628295",True,True,True,True,True,False,False,False
60,9935947,2011-04-05,La Latina,4.0,Palacio,Centro,28005,40.41322292205862,-3.711935339760139,Apartment,Entire home/apt,Real Bed,,80.0,200.0,50.0,296,33,10.0,strict,4.0,"40.41322292205862, -3.711935339760139",True,True,True,False,True,False,True,False
61,15701193,2012-11-24,Sol,3.0,Palacio,Centro,28013,40.41578614611588,-3.7099269990498622,Apartment,Entire home/apt,Real Bed,,72.0,200.0,30.0,295,20,9.0,strict,3.0,"40.41578614611588, -3.7099269990498622",True,True,False,False,True,False,False,False
62,13197405,2015-01-16,La Latina,1.0,Palacio,Centro,28005,40.41247706434667,-3.7089954086062713,Apartment,Entire home/apt,Real Bed,,60.0,,25.0,97,41,10.0,strict,1.0,"40.41247706434667, -3.7089954086062713",True,True,True,False,True,False,True,False
63,12766878,2016-04-29,Palacio,1.0,Palacio,Centro,28005,40.41105503357977,-3.716839748486407,Apartment,Entire home/apt,Real Bed,,40.0,200.0,30.0,8,11,9.0,moderate,1.0,"40.41105503357977, -3.716839748486407",True,True,False,True,True,False,False,False
64,15094639,2014-09-12,La Latina,1.0,Palacio,Centro,28005,40.41166679202023,-3.710040500631537,Apartment,Private room,Real Bed,,40.0,,,275,50,10.0,moderate,1.0,"40.41166679202023, -3.7100405006315365",True,True,True,True,True,False,True,False
65,2965016,2014-02-07,La Latina,6.0,Palacio,Centro,28012,40.41242019704001,-3.707873449904831,Apartment,Entire home/apt,Real Bed,,300.0,,100.0,135,24,9.0,strict,6.0,"40.41242019704001, -3.707873449904831",True,True,True,True,True,False,False,False
66,15852288,2015-05-31,Malasaña,2.0,Palacio,Centro,28005,40.40960750253689,-3.710648578507729,Apartment,Entire home/apt,Real Bed,,65.0,100.0,,281,2,10.0,flexible,2.0,"40.40960750253689, -3.710648578507729",True,False,True,False,True,False,False,False
67,10900611,2013-12-23,La Latina,2.0,Palacio,Centro,28005,40.40940085610753,-3.711630313124473,Apartment,Entire home/apt,Real Bed,,49.0,90.0,15.0,281,17,8.0,strict,2.0,"40.40940085610753, -3.711630313124473",True,True,False,True,True,False,False,False
68,1105892,2013-04-24,La Latina,8.0,Palacio,Centro,28005,40.41106051873265,-3.709062553832325,Apartment,Private room,Real Bed,,45.0,,10.0,347,35,8.0,flexible,7.0,"40.41106051873265, -3.709062553832325",True,True,True,True,True,False,False,False
69,10152233,2015-12-08,Embajadores,4.0,Embajadores,Centro,28012,40.4097993460848,-3.7006812109375296,Apartment,Entire home/apt,Real Bed,,35.0,100.0,20.0,4,55,8.0,strict,4.0,"40.409799346084796, -3.7006812109375304",True,True,True,True,True,False,False,False
70,4745997,2014-12-01,La Latina,1.0,Embajadores,Centro,28005,40.41006299208211,-3.707478844553208,Apartment,Private room,Real Bed,,35.0,,,248,218,10.0,moderate,1.0,"40.41006299208211, -3.7074788445532074",True,True,True,True,True,False,True,False
71,16763949,2011-03-18,Pacifico,8.0,Embajadores,Centro,28012,40.4118744602771,-3.701308631241128,Apartment,Entire home/apt,Real Bed,,245.0,150.0,,326,0,,strict,7.0,"40.4118744602771, -3.7013086312411283",True,False,True,True,True,False,False,False
72,16248091,2016-01-12,L'Antiga Esquerra de l'Eixample,207.0,Embajadores,Centro,28012,40.40872321515416,-3.692362019148068,Apartment,Entire home/apt,Real Bed,,120.0,,37.0,109,7,9.0,strict,67.0,"40.40872321515416, -3.692362019148068",True,True,True,True,True,False,False,False
73,1536252,2013-08-16,Embajadores,1.0,Embajadores,Centro,28012,40.41177611206862,-3.704898614268647,Apartment,Entire home/apt,Real Bed,,40.0,100.0,20.0,332,157,9.0,strict,1.0,"40.41177611206862, -3.7048986142686466",True,True,True,False,True,False,False,False
74,16675905,2016-04-26,Embajadores,4.0,Embajadores,Centro,28012,40.40635370973264,-3.703991429463036,Apartment,Entire home/apt,Real Bed,,65.0,,,28,18,9.0,flexible,4.0,"40.40635370973264, -3.703991429463036",True,True,True,True,True,False,False,False
75,7108452,2015-02-08,,1.0,Embajadores,Centro,28005,40.40770758436703,-3.7040950722900527,Apartment,Entire home/apt,Real Bed,,59.0,,,0,0,,flexible,1.0,"40.40770758436703, -3.7040950722900527",True,False,False,False,True,False,False,False
76,5832510,2010-12-08,Embajadores,4.0,Embajadores,Centro,28012,40.410195379504586,-3.701701454349703,Apartment,Entire home/apt,Real Bed,,29.0,250.0,25.0,303,70,8.0,strict,4.0,"40.410195379504586, -3.701701454349703",True,True,True,False,True,False,False,False
77,12484031,2015-02-19,Embajadores,1.0,Embajadores,Centro,28012,40.41010368433258,-3.7024079516336137,Apartment,Entire home/apt,Real Bed,,49.0,,,48,16,9.0,flexible,1.0,"40.41010368433258, -3.7024079516336137",True,True,True,False,True,False,False,False
79,8528189,2014-05-08,Justicia,114.0,Embajadores,Centro,28012,40.4108295056357,-3.707281662827528,Apartment,Private room,Real Bed,,25.0,,15.0,92,0,,strict,97.0,"40.4108295056357, -3.7072816628275276",True,False,True,False,True,False,False,False
80,1532354,2013-07-01,La Latina,2.0,Embajadores,Centro,28005,40.40842611110629,-3.706267182628448,Apartment,Entire home/apt,Real Bed,,48.0,,35.0,79,40,9.0,strict,2.0,"40.408426111106294, -3.706267182628448",True,False,True,True,True,False,False,False
81,581691,2012-07-08,Embajadores,24.0,Embajadores,Centro,28012,40.407177992344046,-3.70326771718013,Apartment,Entire home/apt,Real Bed,,48.0,90.0,20.0,66,198,9.0,strict,23.0,"40.407177992344046, -3.7032677171801294",True,True,True,True,True,False,False,False
82,3922548,2013-10-07,Embajadores,15.0,Embajadores,Centro,28012,40.41143048037392,-3.699736948686541,Apartment,Entire home/apt,Real Bed,,180.0,220.0,60.0,319,71,9.0,moderate,15.0,"40.41143048037392, -3.699736948686541",True,True,True,True,True,False,False,False
83,9982157,2015-07-11,,1.0,Embajadores,Centro,28012,40.41244869783963,-3.7033574454587166,Apartment,Entire home/apt,Real Bed,,50.0,100.0,25.0,340,38,7.0,moderate,1.0,"40.41244869783963, -3.7033574454587166",True,False,False,False,True,False,False,False
84,4967324,2012-08-09,,1.0,Embajadores,Centro,28005,40.40814840119403,-3.7058782865702486,Apartment,Entire home/apt,Real Bed,,180.0,,30.0,0,34,9.0,moderate,1.0,"40.40814840119403, -3.7058782865702486",True,True,False,False,True,False,True,False
85,14280309,2016-06-17,La Latina,5.0,Embajadores,Centro,28005,40.41358226160519,-3.706742568186566,Apartment,Private room,Futon,,18.0,,9.0,299,75,9.0,moderate,5.0,"40.413582261605185, -3.706742568186566",True,False,True,True,True,False,False,False
86,17745201,2016-03-30,Embajadores,20.0,Embajadores,Centro,28012,40.40877744958359,-3.700857189814326,Apartment,Private room,Real Bed,,43.0,200.0,30.0,56,0,,strict,20.0,"40.40877744958359, -3.700857189814326",True,True,False,True,True,False,False,False
87,3555938,2014-05-09,Embajadores,3.0,Embajadores,Centro,28012,40.41174043624051,-3.703884779810484,Apartment,Entire home/apt,Real Bed,,85.0,200.0,20.0,21,1,8.0,strict,3.0,"40.41174043624051, -3.703884779810484",True,False,True,False,True,False,False,False
88,12107436,2014-01-09,Embajadores,8.0,Embajadores,Centro,28012,40.41252552007671,-3.702327526354485,Apartment,Entire home/apt,Real Bed,,135.0,300.0,45.0,132,21,9.0,moderate,8.0,"40.412525520076706, -3.7023275263544853",True,True,False,False,True,False,False,False
89,16223429,2016-12-03,Embajadores,1.0,Embajadores,Centro,28012,40.410513825901845,-3.699055538099477,Apartment,Entire home/apt,Real Bed,,40.0,100.0,20.0,64,18,9.0,moderate,1.0,"40.410513825901845, -3.699055538099477",True,False,True,True,True,False,False,False
93,3222779,2012-11-19,Malasaña,23.0,Universidad,Centro,28004,40.42580307547746,-3.70326305948532,Apartment,Entire home/apt,Real Bed,,85.0,150.0,30.0,292,125,9.0,strict,23.0,"40.42580307547746, -3.7032630594853204",True,True,True,True,True,False,False,False
94,1333024,2012-05-22,La Latina,4.0,Universidad,Centro,28004,40.42606120005854,-3.7023314081688894,Apartment,Entire home/apt,Real Bed,,75.0,200.0,30.0,314,165,10.0,strict,4.0,"40.42606120005854, -3.7023314081688894",True,True,True,True,True,True,False,True
95,1234836,2013-03-20,Malasaña,46.0,Universidad,Centro,28015,40.423965450543314,-3.709107727061833,Apartment,Entire home/apt,Real Bed,,50.0,,25.0,308,174,8.0,strict,46.0,"40.423965450543314, -3.7091077270618333",True,True,True,True,True,False,False,False
96,4015119,2014-09-01,,3.0,Universidad,Centro,28004,40.424826225901214,-3.706906827412753,House,Private room,Real Bed,,50.0,,,0,0,,strict,3.0,"40.424826225901214, -3.7069068274127526",True,False,False,False,True,False,False,False
97,8172203,2015-09-01,Malasaña,1.0,Universidad,Centro,28004,40.42882593747729,-3.7044845720164674,Apartment,Entire home/apt,Real Bed,,55.0,,30.0,62,49,9.0,flexible,1.0,"40.42882593747729, -3.7044845720164674",True,True,True,False,True,False,False,False
98,5266480,2013-03-20,Malasaña,46.0,Universidad,Centro,28004,40.42107124667451,-3.7058532514816345,Apartment,Entire home/apt,Real Bed,,45.0,,25.0,310,63,8.0,strict,46.0,"40.42107124667451, -3.7058532514816345",True,True,False,True,True,False,False,False
99,2943509,2012-07-25,Malasaña,10.0,Universidad,Centro,28004,40.42435981347324,-3.706730789231222,Apartment,Entire home/apt,Real Bed,,99.0,250.0,25.0,233,2,7.0,moderate,5.0,"40.42435981347324, -3.706730789231222",True,False,True,True,True,False,False,False
100,12709013,2016-04-25,Malasaña,2.0,Universidad,Centro,28004,40.42237394593423,-3.704246910752112,Apartment,Entire home/apt,Real Bed,,40.0,,5.0,216,86,8.0,strict,2.0,"40.422373945934226, -3.7042469107521114",True,False,True,True,True,False,False,False
102,16743974,2016-03-13,,1.0,Universidad,Centro,28004,40.42670924710707,-3.7018606883146856,Apartment,Entire home/apt,Real Bed,,120.0,,40.0,142,6,10.0,strict,1.0,"40.42670924710707, -3.7018606883146856",True,True,False,True,True,False,False,False
103,6340181,2015-02-19,Malasaña,1.0,Universidad,Centro,28015,40.42590166455756,-3.706649703265676,Apartment,Entire home/apt,Real Bed,,76.0,,25.0,298,81,10.0,strict,1.0,"40.42590166455756, -3.7066497032656756",True,True,True,False,True,False,True,False
104,11933593,2016-03-20,Malasaña,1.0,Universidad,Centro,28004,40.42371551994815,-3.704693479694531,Apartment,Private room,Real Bed,,35.0,,10.0,55,34,9.0,flexible,1.0,"40.42371551994815, -3.7046934796945314",True,False,True,True,True,False,True,False
105,1763683,2012-11-30,Justicia,5.0,Universidad,Centro,28004,40.42436936890456,-3.701134025477826,Apartment,Entire home/apt,Real Bed,,50.0,200.0,30.0,315,90,9.0,strict,5.0,"40.424369368904564, -3.701134025477826",True,True,True,True,True,True,False,True
106,16213533,2013-08-05,Malasaña,1.0,Universidad,Centro,28004,40.42806187749859,-3.7030077874918663,Other,Entire home/apt,Real Bed,,43.0,120.0,25.0,317,5,10.0,flexible,1.0,"40.42806187749859, -3.7030077874918668",True,True,True,False,True,False,False,False
107,15427486,2016-09-13,,2.0,Universidad,Centro,28004,40.42326037117711,-3.7023264045223456,Apartment,Shared room,Real Bed,,15.0,,,343,7,7.0,strict,2.0,"40.42326037117711, -3.7023264045223456",True,True,False,False,True,False,False,False
108,3727205,2013-04-11,Malasaña,3.0,Universidad,Centro,28004,40.424948521296855,-3.7016837165680783,Apartment,Entire home/apt,Real Bed,,65.0,100.0,30.0,63,199,10.0,moderate,3.0,"40.424948521296855, -3.7016837165680783",True,True,True,False,True,False,True,False
109,13231178,2014-06-14,Malasaña,10.0,Universidad,Centro,28004,40.426132859092085,-3.702689222248527,Apartment,Entire home/apt,Real Bed,,49.0,150.0,30.0,329,21,8.0,strict,2.0,"40.426132859092085, -3.7026892222485266",True,True,True,True,True,False,False,False
110,15718951,2016-02-16,Malasaña,6.0,Universidad,Centro,28013,40.421989649982486,-3.703425612310848,Apartment,Entire home/apt,Real Bed,,50.0,,5.0,244,8,5.0,strict,5.0,"40.421989649982486, -3.7034256123108475",True,True,True,True,True,False,False,False
111,17749414,2015-02-15,Sol,11.0,Universidad,Centro,28004,40.42642318997756,-3.70522912071858,Apartment,Entire home/apt,Real Bed,,99.0,,25.0,30,1,8.0,strict,8.0,"40.426423189977555, -3.7052291207185797",True,True,False,True,True,False,False,False
112,17651325,2017-01-07,Malasaña,2.0,Universidad,Centro,28004,40.423367741481705,-3.7063640784088734,Apartment,Private room,Real Bed,,18.0,95.0,15.0,34,0,,flexible,2.0,"40.423367741481705, -3.7063640784088734",True,True,True,False,True,False,False,False
114,17362722,2014-11-17,Cortes,5.0,Universidad,Centro,28004,40.42444702720922,-3.704428223082856,Apartment,Entire home/apt,Real Bed,,300.0,400.0,60.0,117,5,10.0,strict,5.0,"40.42444702720922, -3.7044282230828562",True,True,True,False,True,False,False,False
115,6999084,2015-06-25,,1.0,Universidad,Centro,28015,40.42433184466714,-3.707629261924959,Apartment,Entire home/apt,Real Bed,,70.0,400.0,25.0,77,19,9.0,strict,1.0,"40.424331844667144, -3.707629261924959",True,True,False,False,True,False,False,False
116,737480,2012-07-16,Malasaña,8.0,Universidad,Centro,28004,40.42405874456748,-3.7051719274144097,Apartment,Entire home/apt,Real Bed,,55.0,,25.0,217,69,9.0,strict,8.0,"40.42405874456748, -3.7051719274144097",True,True,True,True,True,False,False,False
